audit_id,instance_id,model_id,split,probe,clean_answer,probe_answer,cosine_similarity,current_threshold,current_match,human_match
semantic_0041,vizwiz_VizWiz_val_00002861_2861,Qwen/Qwen3-VL-8B-Instruct,train,grounding,white and pink,white with pink patterns,0.79574573,0.82,0,1
semantic_0042,vizwiz_VizWiz_val_00001411_1411,google/gemma-4-E4B-it,train,grounding,this shows close up of gold ring being held or examined with finger visible in background,close up of gold colored ring being held between fingers,0.81574374,0.82,0,1
semantic_0043,vizwiz_VizWiz_val_00001128_1128,google/gemma-4-E4B-it,val,grounding,screen appears to be showing progress or information screen related to installing windows with text visible like installing windows and list of steps such as copying windows files expanding windows files 25 and installing features,screen displaying process of installing windows with text indicating steps like copying windows files and installing features,0.83587545,0.82,1,1
semantic_0044,vizwiz_VizWiz_val_00000434_434,Qwen/Qwen3-VL-8B-Instruct,train,grounding,windows boot manager,windows boot manager screen,0.85434985,0.82,1,1
semantic_0045,vizwiz_VizWiz_val_00001123_1123,google/gemma-4-E4B-it,val,brightness,screen displays page _fault _in _nonpaged _area error message along with technical information and instructions for troubleshooting,screen displays page _fault _in _nonpaged _area error message along with technical information and message about collecting data for crash dump,0.87088317,0.82,1,0
semantic_0046,vizwiz_VizWiz_val_00000579_579,google/gemma-4-E4B-it,val,grounding,computer screen displays windows error message indicating that system is attempting to fix problems automatically and may restart,windows system error or recovery screen indicating that computer is attempting to automatically fix problems and may need to restart,0.89074111,0.82,1,1
semantic_0047,vizwiz_VizWiz_val_00002960_2960,google/gemma-4-E4B-it,train,crop,this appears to be close up slightly blurry image showing white object possibly piece of paper or card with small circular mark on it positioned against textured olive green or lime green background,this is very blurry image showing white object possibly piece of paper or card against green background,0.9143725,0.82,1,1
semantic_0048,vizwiz_VizWiz_val_00002761_2761,Qwen/Qwen3-VL-8B-Instruct,train,grounding,cast iron skillet,seasoned cast iron skillet,0.93341923,0.82,1,1
semantic_0049,vizwiz_VizWiz_val_00001390_1390,google/gemma-4-E4B-it,train,brightness,image shows laptop screen displaying error message visible text on screen includes your computer was unable to start do you want to restore your computer using system restore there is also button labeled restart,image shows laptop screen displaying error message visible text on screen includes your computer was unable to start please try restarting your computer using system restore there is also button labeled restart now,0.95954067,0.82,1,1
semantic_0050,vizwiz_VizWiz_val_00000824_824,google/gemma-4-E4B-it,val,noise,i am sorry but i cannot tell you code on itunes gift card because image provided is too blurry and code itself is not legible,i am sorry but i cannot tell you code on itunes gift card because image provided is too blurry and code is not legible,0.99869108,0.82,1,1
