audit_id,image_file,question,gold_answer,clean_answer,probe_results_json,clean_correct,visual_fragile,language_persistence,alignment_instability,label6,insufficient_or_contradictory
audit_0020,images/audit_0020.png,Can you describe the photo outside the text?,3 trophies,"The photo shows a display of several ornate, silver-colored trophies and cups set up indoors, likely in a hall or venue, with a backdrop that includes a sign reading ""Black Belt Academy"" and a red and blue checkered floor.","[{""probe"":""blank"",""answer"":""i m sorry but there is no photo provided outside of text image you sent is solid gray color"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""photo shows blurry indoor scene possibly room with some furniture and people present"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""photo shows display of several large ornate trophies in indoor setting with banner that reads black belt academy visible in background"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""photo shows display of several large ornate trophies in what appears to be indoor setting possibly academy or hall trophies are metallic and highly polished with one prominent large silver colored trophy in center in background there is wall with sign that reads black belt academy and floor has red and blue checkered pattern"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""photo shows several ornate silver colored trophies displayed indoors against backdrop that includes sign reading black belt academy"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""photo shows indoor setting likely room decorated for event featuring several trophies displayed on surface in background there is banner that reads black belt academy"",""applicable"":true,""valid"":true}]",,,,,,
audit_0021,images/audit_0021.png,Is there a bicycle in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0022,images/audit_0022.png,what color is this  hair clip?,white,clear,"[{""probe"":""blank"",""answer"":""gray"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""white"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""white"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""clear"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""clear or translucent white"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""clear"",""applicable"":true,""valid"":true}]",,,,,,
audit_0023,images/audit_0023.png,What kind of lighter is this?,world gun,world a gun,"[{""probe"":""blank"",""answer"":""zippo"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""zippo"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""gun lighter"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""world gun"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""novelty gun shaped lighter"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""gun lighter"",""applicable"":true,""valid"":true}]",,,,,,
audit_0024,images/audit_0024.png,"What kind of soda is this, please?",unanswerable,"I am sorry, but the image provided is too blurry and cropped to identify the specific kind of soda.","[{""probe"":""blank"",""answer"":""i cannot tell you what kind of soda this is because you have provided image that is solid gray color and no other context or image of soda"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""i cannot tell you what kind of soda this is because image is too blurry"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""i am sorry but image provided is too blurry to identify kind of soda"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""i am sorry but image provided is too blurry and indistinct for me to identify type of soda"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""cannot be determined from image"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""i am sorry but image provided is too blurry and indistinct for me to identify specific type of soda"",""applicable"":true,""valid"":true}]",,,,,,
audit_0025,images/audit_0025.png,Is there a skis in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0026,images/audit_0026.png,"According to the positive sequence of the images, does the basketball player make a three-point shooting?",no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0027,images/audit_0027.png,How many degree of temperature on this remote control?,unanswerable,"The remote control displays a temperature reading, but the specific numerical value is **not clearly legible** in the image.","[{""probe"":""blank"",""answer"":""i cannot determine temperature from image provided as it is solid gray color and does not show remote control or any temperature reading"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""i cannot determine temperature from image provided as remote control does not display temperature reading"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""remote control has temperature setting indicated by temp button but image does not show specific degree of temperature"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""34 0 c"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""not clearly visible"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""temperature displayed on remote control is 24 0 c"",""applicable"":true,""valid"":true}]",,,,,,
audit_0028,images/audit_0028.png,Is there a horse in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0029,images/audit_0029.png,"In 2020, did Japan have the largest GDP around the world, followed by the United States, and China, according to the image?",no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0030,images/audit_0030.png,Whats in the bag?,chocolate chips,milk chocolate morsels,"[{""probe"":""blank"",""answer"":""nothing"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""unanswerable"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""milk chocolate morsels"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""milk chocolate morsels"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""milk chocolate morsels"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""morsels"",""applicable"":true,""valid"":true}]",,,,,,
audit_0031,images/audit_0031.png,What temperature is the oven set at?,425,The oven is set at **350**.,"[{""probe"":""blank"",""answer"":""i cannot tell you oven temperature because there is no image or text providing that information"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""oven is set at 350"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""oven is set at 350"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""350"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""350"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""oven is set at 350"",""applicable"":true,""valid"":true}]",,,,,,
audit_0032,images/audit_0032.png,What is this?,remote control,This is a remote control.,"[{""probe"":""blank"",""answer"":""this is solid gray image"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""this is remote control"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""this is remote control"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""this is remote control"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""remote control"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""this is remote control"",""applicable"":true,""valid"":true}]",,,,,,
audit_0033,images/audit_0033.png,The toilet is adjacent to the sink.,false,true,"[{""probe"":""blank"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""false"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""true"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""true"",""applicable"":true,""valid"":true}]",,,,,,
audit_0034,images/audit_0034.png,What is this?,unanswerable,"This is a close-up image of a **brown, glazed ceramic or pottery object**.","[{""probe"":""blank"",""answer"":""this is solid gray image"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""this is blurry image of brown possibly ceramic or pottery object on wooden floor"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""this is dark blurry image featuring large dark object on right side against wooden background"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""this appears to be close up out of focus image of brown possibly ceramic or glass object next to wooden floor"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""ceramic vase or pot"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""this is close up image of brown textured ceramic or pottery object sitting on wooden floor"",""applicable"":true,""valid"":true}]",,,,,,
audit_0035,images/audit_0035.png,Is there a pizza in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0036,images/audit_0036.png,What is this on this.. what is the label on this cover? What's the name?,unanswerable,"I am sorry, but the image you provided is a dark, abstract gradient and does not contain any visible text, labels, or covers that I can read or identify. Therefore, I cannot tell you what the label or name is.","[{""probe"":""blank"",""answer"":""i am sorry but image you provided is solid gray color and does not contain any visible text labels or cover that i can read to tell you name or label"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""i am sorry but image you provided is dark blurry gradient and does not contain any visible text labels or cover that i can identify therefore i cannot tell you what it is or what name is"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""i am sorry but image you provided is almost entirely black and there is no visible label or text on cover for me to read or identify"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""i am sorry but image you provided is dark abstract gradient and does not contain any visible labels covers or text that i can read to answer your question"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no label or name is visible in image"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""i am sorry but image you provided is dark gradient background with no visible text labels or cover information therefore i cannot tell you what label or name is"",""applicable"":true,""valid"":true}]",,,,,,
audit_0037,images/audit_0037.png,What's this?,unanswerable,"This is a bright, out-of-focus light source against a dark background, likely a photograph of a star or a bright light source.","[{""probe"":""blank"",""answer"":""this is solid gray background"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""this is image of bright glowing object against dark background likely star or bright celestial body"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""this is black image with subtle dark gray glow or vignette in center"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""this is bright out of focus light source likely lens flare or bright light source captured with camera"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""bright star or celestial body"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""this is image of bright diffuse light source against dark background resembling star bright nebula or lens flare"",""applicable"":true,""valid"":true}]",,,,,,
audit_0038,images/audit_0038.png,Is there a bus in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0039,images/audit_0039.png,Is there a book in the image?,no,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
audit_0040,images/audit_0040.png,What is it?,tv,"It is a living room setup featuring a television on a stand, with a couch in the foreground.","[{""probe"":""blank"",""answer"":""image is solid gray color"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""it is blurry image of living room with television set on stand"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""it is television set on media stand in room"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""it is television set on media stand"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""living room setup"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""it is living room or entertainment area featuring television set on glass shelving unit"",""applicable"":true,""valid"":true}]",,,,,,
audit_0041,images/audit_0041.png,What is this?,ottoman,ottoman,"[{""probe"":""blank"",""answer"":""gray background"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""ottoman"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""ottoman"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""ottoman"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""ottoman"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""ottoman"",""applicable"":true,""valid"":true}]",,,,,,
audit_0042,images/audit_0042.png,what is this?,unanswerable,This is a **Nutrition Facts label** from a food product.,"[{""probe"":""blank"",""answer"":""this is solid gray color"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""based on image it appears to be can or tin with some text printed on it but image is too blurry to determine its specific contents or purpose"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""this appears to be nutrition facts label from food product visible in center of dark image"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""this is close up blurry image of nutrition facts label on food product likely can"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""nutrition facts label"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""this appears to be close up dark image of nutrition facts label from food product"",""applicable"":true,""valid"":true}]",,,,,,
audit_0043,images/audit_0043.png,Is there a handbag in the image?,yes,yes,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""yes"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""yes"",""applicable"":true,""valid"":true}]",,,,,,
audit_0044,images/audit_0044.png,Can you see if this is 32 bit or 64 bit?  Thanks.,unanswerable,no,"[{""probe"":""blank"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""blur"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""brightness"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""crop"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""grounding"",""answer"":""no"",""applicable"":true,""valid"":true},{""probe"":""noise"",""answer"":""no"",""applicable"":true,""valid"":true}]",,,,,,
